ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error,Sentence (in Target Language )
BT-2755-2,bedrock-claude-3-5-sonnet,Igbo,Affordable and Clean Energy,13,2025-11-27T12:30:24.260087,Anyi kwesiri ichekwa ike anyanwu maka ọdịmma ụwa anyị.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Affordable_and_Clean_Energy-12,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
AX-2786-2,bedrock-claude-3-5-sonnet,Igbo,Affordable and Clean Energy,35,2025-11-27T12:30:24.258394,Anyị chọrọ ike anyanwụ maka ọrụ dị mfe na ọnụ ahịa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Affordable_and_Clean_Energy-34,claude-3-5-sonnet-20241022-v2,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
LP-4758-2,claude-haiku-4-5-20251001,Igbo,Affordable and Clean Energy,18,2025-11-25T21:28:36.606599,Ụlọ anyị na-ejikarị obara anyanwụ na-akpali ike n'ụfọdụ abalị.,msgbatch_01MBb73G9mxiVUMWL3P9VTsj,Igbo-Affordable_and_Clean_Energy-17,claude-haiku-4-5-20251001,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
ZM-7772-2,claude-haiku-4-5-20251001,Igbo,Affordable and Clean Energy,46,2025-11-25T21:28:36.607636,Nnwale nke ike na-ekpo oyi na-enye ndị mmadụ ohere ịrị ụka nke dị mma.,msgbatch_01MBb73G9mxiVUMWL3P9VTsj,Igbo-Affordable_and_Clean_Energy-45,claude-haiku-4-5-20251001,3 - Somewhat difficult to read and understand,3 - Somewhat unnatural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,3,3,3,1,
TT-3781-2,claude-opus-4-5-20251101,Igbo,Affordable and Clean Energy,20,2025-11-26T15:58:37.208634,Ọ dị mkpa ka anyị nwee ike ọkụ dị ọnụ ala ma dị ọcha maka ọdịmma obodo anyị.,msgbatch_01UPhvXxCSKSLeEpqGk1iVJp,Igbo-Affordable_and_Clean_Energy-19,claude-opus-4-5-20251101,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6,6,0,
RX-6999-2,claude-opus-4-5-20251101,Igbo,Affordable and Clean Energy,39,2025-11-26T15:58:37.209308,Ọ dị mkpa ka anyị nwee ike ọkụ dị ọnụ ala na ọcha maka ndụ ka mma.,msgbatch_01UPhvXxCSKSLeEpqGk1iVJp,Igbo-Affordable_and_Clean_Energy-38,claude-opus-4-5-20251101,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
KJ-5960-2,claude-sonnet-4-20250514,Igbo,Affordable and Clean Energy,27,2025-11-25T21:26:50.694975,Ọ̀ dị mkpa ka anyị nweta ike ọkụ dị ọnụ ala ma dị ọcha maka obodo anyị.,msgbatch_013YSRiW6Z3NCCKyVi3VcP99,Igbo-Affordable_and_Clean_Energy-26,claude-sonnet-4-20250514,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
ZA-2481-2,claude-sonnet-4-20250514,Igbo,Affordable and Clean Energy,43,2025-11-25T21:26:50.695686,Ọ dị mkpa ka anyị nwee ike ọkụ dị ọnụ ala na nke dị ọcha maka obodo anyị.,msgbatch_013YSRiW6Z3NCCKyVi3VcP99,Igbo-Affordable_and_Clean_Energy-42,claude-sonnet-4-20250514,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6,6,0,
MM-6832-2,claude-sonnet-4-5-20250929,Igbo,Affordable and Clean Energy,10,2025-11-25T21:28:29.171490,Ike ọkụ dị ọnụ ala na nke dị ọcha na-enyere obodo anyị aka ịzụlite azụmahịa na ụlọ ọrụ.,msgbatch_01LxPYszDcgGguRrBkEREyjE,Igbo-Affordable_and_Clean_Energy-9,claude-sonnet-4-5-20250929,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6,6,0,
CU-0276-2,claude-sonnet-4-5-20250929,Igbo,Affordable and Clean Energy,30,2025-11-25T21:28:29.172284,Ike ọkụ dị ọnụ ala na nke dị ọcha na-enyere obodo anyị aka ịzụlite ọdịnihu ka mma.,msgbatch_01LxPYszDcgGguRrBkEREyjE,Igbo-Affordable_and_Clean_Energy-29,claude-sonnet-4-5-20250929,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6,6,0,
IL-5414-2,gpt-4.1-2025-04-14,Igbo,Affordable and Clean Energy,18,2025-11-25T21:12:30.666035,Ị chewo echiche banyere otu anyị ga-esi wee nweta ọkụ dị ọcha na ọnụ ala?,batch_6924d2634fc08190a7e8ef41dd79d8d9,Igbo-Affordable_and_Clean_Energy-17,gpt-4_1,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
YD-0848-2,gpt-4.1-2025-04-14,Igbo,Affordable and Clean Energy,46,2025-11-25T21:12:30.666323,Nke a dị mkpa inwe ọkụ dị ọcha na ọnụ ahịa dị ala n'ime obodo.,batch_6924d2634fc08190a7e8ef41dd79d8d9,Igbo-Affordable_and_Clean_Energy-45,gpt-4_1,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
LK-3205-2,gpt-5,Igbo,Affordable and Clean Energy,18,2025-11-25T21:13:53.208282,"Ike anyanwụ dị ọnụ ala, dị ọcha, na-enyere ụlọ na ahịa n'obodo Igbo.",batch_6924d274ef5081908a7a2e6cbfe404df,Igbo-Affordable_and_Clean_Energy-17,gpt-5,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
IO-1178-2,gpt-5,Igbo,Affordable and Clean Energy,46,2025-11-25T21:13:53.208534,Anyị chọrọ ume anyanwụ ọnụ ala n’ime Anambra na Enugu.,batch_6924d274ef5081908a7a2e6cbfe404df,Igbo-Affordable_and_Clean_Energy-45,gpt-5,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
MQ-4978-2,gpt-5-mini,Igbo,Affordable and Clean Energy,18,2025-11-25T21:14:37.998813,Gini ka anyi ga-eme iji mee ka ike ocha ma di onu ala?,batch_6924d28c60748190a6b989b1a6273f32,Igbo-Affordable_and_Clean_Energy-17,gpt-5-mini,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
DK-8086-2,gpt-5-mini,Igbo,Affordable and Clean Energy,49,2025-11-25T21:14:37.999137,Gọọmenti anyị ga-etinye ego na ọkụ anyanwụ dị ọnụ ala nke dị ọcha?,batch_6924d28c60748190a6b989b1a6273f32,Igbo-Affordable_and_Clean_Energy-48,gpt-5-mini,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
AA-1374-2,gpt-5-nano,Igbo,Affordable and Clean Energy,18,2025-11-25T21:14:46.370056,Ọnụahịa ọkụ dị ọnụ ala ma dị ọcha.,batch_6924d24a35b88190bf1190e37df6136b,Igbo-Affordable_and_Clean_Energy-17,gpt-5-nano,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
GF-2583-2,gpt-5-nano,Igbo,Affordable and Clean Energy,46,2025-11-25T21:14:46.370315,Ị chọrọ ume dị ọnụ ala na nke dị ọcha maka obodo anyị?,batch_6924d24a35b88190bf1190e37df6136b,Igbo-Affordable_and_Clean_Energy-45,gpt-5-nano,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
CD-3900-2,gpt-5.1,Igbo,Affordable and Clean Energy,18,2025-11-25T21:16:56.005397,Ọtụtụ ụmụ akwụkwọ na Mmiriokwu na-eji ọkụ anyanwụ n’ụlọ akwụkwọ ha.,batch_6924d29f3d80819099d62f3f2cae977e,Igbo-Affordable_and_Clean_Energy-17,gpt-5_1,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
QP-0568-2,gpt-5.1,Igbo,Affordable and Clean Energy,49,2025-11-25T21:16:56.005674,Otu ìgwè ụmụ akwụkwọ na-akpọkọta ego iji wụnye anyanwụ n’ụlọ akwụkwọ ha.,batch_6924d29f3d80819099d62f3f2cae977e,Igbo-Affordable_and_Clean_Energy-48,gpt-5_1,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
TJ-7312-2,bedrock-claude-3-5-sonnet,Igbo,Child health,6,2025-11-27T12:30:24.264967,Ahuike nwa bụ ihe kacha mkpa na ndụ.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Child_health-5,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6,6,0,
JF-2583-2,bedrock-claude-3-5-sonnet,Igbo,Child health,43,2025-11-27T12:30:24.263850,Nne na-elekọta ahụike nwa ya nke ọma.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Child_health-42,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
ZK-6265-2,claude-haiku-4-5-20251001,Igbo,Child health,30,2025-11-25T21:28:36.757672,Ọkaịkọ nwata kwesịrị ịnwe oriri ezi obi na ihe ọ na-asu ike kwa ụbọchị.,msgbatch_01MBb73G9mxiVUMWL3P9VTsj,Igbo-Child_health-29,claude-haiku-4-5-20251001,3 - Somewhat difficult to read and understand,3 - Somewhat unnatural,3 - Somewhat flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,3,3,3,1,
IK-3076-2,claude-haiku-4-5-20251001,Igbo,Child health,47,2025-11-25T21:28:36.758356,Ọma mma ka ụmụaka nwere ike ichekwa ahụ ha ma bie n'obi.,msgbatch_01MBb73G9mxiVUMWL3P9VTsj,Igbo-Child_health-46,claude-haiku-4-5-20251001,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
