ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error
HY-5569,bedrock-claude-3-5-sonnet,Igbo,Affordable and Clean Energy,6,2025-11-27T12:30:24.259039,Anyị chọrọ ike anyanwụ maka ọdịmma nke ụwa anyị.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Affordable_and_Clean_Energy-5,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6.0,6,0
BT-2755,bedrock-claude-3-5-sonnet,Igbo,Affordable and Clean Energy,13,2025-11-27T12:30:24.260087,Anyi kwesiri ichekwa ike anyanwu maka ọdịmma ụwa anyị.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Affordable_and_Clean_Energy-12,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6.0,6,0
OY-1928,bedrock-claude-3-5-sonnet,Igbo,Affordable and Clean Energy,24,2025-11-27T12:30:24.257386,Anyị chọrọ ike anyanwụ maka ọdị mma nke ọba anyị.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Affordable_and_Clean_Energy-23,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,6,5.0,5,0
LM-5431,bedrock-claude-3-5-sonnet,Igbo,Affordable and Clean Energy,26,2025-11-27T12:30:24.261016,Anyị chọrọ ike anyanwụ maka ịnweta ọkụ ọnụ ala na-adịghị emerụ ahụ.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Affordable_and_Clean_Energy-25,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6.0,6,0
AX-2786,bedrock-claude-3-5-sonnet,Igbo,Affordable and Clean Energy,35,2025-11-27T12:30:24.258394,Anyị chọrọ ike anyanwụ maka ọrụ dị mfe na ọnụ ahịa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Affordable_and_Clean_Energy-34,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,6,5.0,5,0
RD-4473,bedrock-claude-3-5-sonnet,Igbo,Child health,3,2025-11-27T12:30:24.263144,Ọdị mkpa ka ụmụaka rie nri dị mma maka ahụike ha.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Child_health-2,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6.0,6,0
TJ-7312,bedrock-claude-3-5-sonnet,Igbo,Child health,6,2025-11-27T12:30:24.264967,Ahuike nwa bụ ihe kacha mkpa na ndụ.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Child_health-5,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6.0,6,0
CO-2715,bedrock-claude-3-5-sonnet,Igbo,Child health,35,2025-11-27T12:30:24.266232,Ọ dị mkpa ka ị kpọrọ nwa gị na ụlọọgwụ maka nnyocha ahụike.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Child_health-34,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,6,6.0,5,0
VL-1884,bedrock-claude-3-5-sonnet,Igbo,Child health,42,2025-11-27T12:30:24.267077,Ọ dị mkpa ịkpọ ụmụaka gị n'ụlọọgwụ maka ịgba ha ogwu mgbochi.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Child_health-41,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6.0,6,0
JF-2583,bedrock-claude-3-5-sonnet,Igbo,Child health,43,2025-11-27T12:30:24.263850,Nne na-elekọta ahụike nwa ya nke ọma.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Igbo-Child_health-42,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6.0,6,0
