ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error,Sentence (in Target Language )
VR-7603,bedrock-claude-3-5-sonnet,Hausa,Affordable and Clean Energy,2,2025-11-27T12:30:24.321601,Rana tana ba mu hasken wuta kyauta kuma ba ta ɓacewa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Affordable_and_Clean_Energy-1,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
QL-9770,bedrock-claude-3-5-sonnet,Hausa,Affordable and Clean Energy,6,2025-11-27T12:30:24.319997,Rana ce mafi sauki da tsada a matsayin madadin makamashin wuta a ƙauyenmu.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Affordable_and_Clean_Energy-5,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,6,7,7,0,
GI-8247,bedrock-claude-3-5-sonnet,Hausa,Affordable and Clean Energy,27,2025-11-27T12:30:24.321741,Rana ce mafi arha don samar da wutar lantarki a ƙauyenmu.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Affordable_and_Clean_Energy-26,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,7,6,0,
WP-1093,bedrock-claude-3-5-sonnet,Hausa,Affordable and Clean Energy,38,2025-11-27T12:30:24.321351,Sanya hasken rana ya fi sauki kuma ya fi tsada a kauyenmu.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Affordable_and_Clean_Energy-37,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
WF-4808,bedrock-claude-3-5-sonnet,Hausa,Affordable and Clean Energy,40,2025-11-27T12:30:24.319984,Hasken rana ya fi sauki kuma ba ya ɓata muhalli.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Affordable_and_Clean_Energy-39,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
NC-3171,bedrock-claude-3-5-sonnet,Hausa,Child health,5,2025-11-27T12:30:24.325860,Ya kamata mu kula da lafiyar yara mu ta hanyar ba su abinci mai gina jiki.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Child_health-4,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
UE-7484,bedrock-claude-3-5-sonnet,Hausa,Child health,15,2025-11-27T12:30:24.321964,Ya kamata ka kai yaronka asibiti don gwaji a kowace shekara.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Child_health-14,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
NP-7378,bedrock-claude-3-5-sonnet,Hausa,Child health,27,2025-11-27T12:30:24.325832,Ya kamata ka kai yaronka asibiti don gwaji a kowace wata.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Child_health-26,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
EM-3982,bedrock-claude-3-5-sonnet,Hausa,Child health,39,2025-11-27T12:30:24.325270,Ya kamata ki kai jaririnka asibiti don gwaji a kowace wata.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Child_health-38,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,7 - Extremely natural and colloquial (Native-speaker level),5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,6,7,5,0,
CI-6584,bedrock-claude-3-5-sonnet,Hausa,Child health,41,2025-11-27T12:30:24.325299,Ya kamata ka kai yaro asibiti domin rigakafin cutar,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Child_health-40,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
AJ-4997,bedrock-claude-3-5-sonnet,Hausa,Clean Water and Sanitation,10,2025-11-27T12:30:24.317927,Ruwan tsabta yana da muhimmanci ga kiwon lafiyarmu.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Clean_Water_and_Sanitation-9,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,7,6,0,
EO-8755,bedrock-claude-3-5-sonnet,Hausa,Clean Water and Sanitation,11,2025-11-27T12:30:24.319051,Ruwan shawo mai tsabta yana da muhimmanci ga kiwon lafiyarmu.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Clean_Water_and_Sanitation-10,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,7,6,0,
RY-8675,bedrock-claude-3-5-sonnet,Hausa,Clean Water and Sanitation,22,2025-11-27T12:30:24.317614,Ruwan tsabta yana da muhimmanci ga lafiyar al'umma.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Clean_Water_and_Sanitation-21,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
GW-3963,bedrock-claude-3-5-sonnet,Hausa,Clean Water and Sanitation,47,2025-11-27T12:30:24.320801,Ruwan tsabta yana da muhimmanci ga lafiyar al'ummarmu.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Clean_Water_and_Sanitation-46,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,7,6,0,
YN-0576,bedrock-claude-3-5-sonnet,Hausa,Clean Water and Sanitation,50,2025-11-27T12:30:24.323108,Ruwan sha mai tsabta yana da muhimmanci ga lafiyar jama'a.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Clean_Water_and_Sanitation-49,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
