ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error,Sentence (in Target Language )
LI-3799,bedrock-claude-3-5-sonnet,Nigerian Pidgin,Affordable and Clean Energy,4,2025-11-27T12:30:24.302118,We need beta solar panel wey go give poor people cheap light for dia house.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,NigerianPidgin-Affordable_and_Clean_Energy-3,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,6,6,0,
GO-1240,bedrock-claude-3-5-sonnet,Nigerian Pidgin,Affordable and Clean Energy,15,2025-11-27T12:30:24.301380,Solar panel dey give beta light and e no dey cost too much,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,NigerianPidgin-Affordable_and_Clean_Energy-14,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,6,6,0,
MK-9657,bedrock-claude-3-5-sonnet,Nigerian Pidgin,Affordable and Clean Energy,29,2025-11-27T12:30:24.302286,Make we join hand use solar panel take bring light wey no dey cost too much.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,NigerianPidgin-Affordable_and_Clean_Energy-28,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,6,6,0,
KN-9245,bedrock-claude-3-5-sonnet,Nigerian Pidgin,Affordable and Clean Energy,36,2025-11-27T12:30:24.300960,We need beta solar panel wey go cheap for all our people.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,NigerianPidgin-Affordable_and_Clean_Energy-35,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,6,6,0,
TW-3752,bedrock-claude-3-5-sonnet,Nigerian Pidgin,Affordable and Clean Energy,50,2025-11-27T12:30:24.301532,Dem don bring solar panel wey go helep poor people get light for dia house,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,NigerianPidgin-Affordable_and_Clean_Energy-49,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,6,6,0,
MK-4793,bedrock-claude-3-5-sonnet,Nigerian Pidgin,Child health,3,2025-11-27T12:30:24.315680,Make you carry your pikin go hospital make doctor check am well-well.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,NigerianPidgin-Child_health-2,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,6,6,0,
KM-4651,bedrock-claude-3-5-sonnet,Nigerian Pidgin,Child health,7,2025-11-27T12:30:24.306095,Make you carry your pikin go hospital make dem check am well well.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,NigerianPidgin-Child_health-6,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,6,6,0,
SG-9828,bedrock-claude-3-5-sonnet,Nigerian Pidgin,Child health,10,2025-11-27T12:30:24.306223,Make we carry our pikin go hospital make dem check am well well.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,NigerianPidgin-Child_health-9,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,6,6,0,
AX-7374,bedrock-claude-3-5-sonnet,Nigerian Pidgin,Child health,13,2025-11-27T12:30:24.306294,Make you carry your pikin go hospital make dem check whether im body dey alright.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,NigerianPidgin-Child_health-12,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6,6,0,
WC-6724,bedrock-claude-3-5-sonnet,Nigerian Pidgin,Child health,16,2025-11-27T12:30:24.312707,Make una carry your pikin go hospital make dem check am well well.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,NigerianPidgin-Child_health-15,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,6,6,0,
