ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error,Sentence (in Target Language )
EX-1819-2,bedrock-claude-3-5-sonnet,Fulani,Affordable and Clean Energy,23,2025-11-27T12:30:24.336945,Naawndorde e peƴƴeele maa foti woodude e kala suudu.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Fulani-Affordable_and_Clean_Energy-22,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,4 - Neutral / Neither natural nor unnatural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,4,6,0.0,
NH-7940-2,bedrock-claude-3-5-sonnet,Fulani,Affordable and Clean Energy,49,2025-11-27T12:30:24.348362,Naange no hokkata men nguura mbaawka nyaama e nder wuro meeɗen.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Fulani-Affordable_and_Clean_Energy-48,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,6,6,7,0.0,
AX-9688-2,claude-haiku-4-5-20251001,Fulani,Affordable and Clean Energy,14,2025-11-25T21:28:37.204007,"Jamma ndee ko jamma mawnde, woni o laabi ko ene ko yiɗndee duniyaare.",msgbatch_01MBb73G9mxiVUMWL3P9VTsj,Fulani-Affordable_and_Clean_Energy-13,claude-haiku-4-5-20251001,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0.0,
CA-3977-2,claude-haiku-4-5-20251001,Fulani,Affordable and Clean Energy,33,2025-11-25T21:28:37.204607,"Jonde kala mum a yooyti e nguurndam, o fofa seede e duunyaa kadi.",msgbatch_01MBb73G9mxiVUMWL3P9VTsj,Fulani-Affordable_and_Clean_Energy-32,claude-haiku-4-5-20251001,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,7,6,6,0.0,
RV-2641-2,claude-opus-4-5-20251101,Fulani,Affordable and Clean Energy,18,2025-11-26T15:58:39.410924,Nafoore laaɓɗo e keewtiiɗo foti wonde e nder kala galle e leydi meeɗen.,msgbatch_015ciDxJQXdsAr7Mm1UXzqQj,Fulani-Affordable_and_Clean_Energy-17,claude-opus-4-5-20251101,6 - Easy to read and understand,4 - Neutral / Neither natural nor unnatural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,6,4,5,0.0,
PZ-6123-2,claude-opus-4-5-20251101,Fulani,Affordable and Clean Energy,46,2025-11-26T15:58:39.412259,Ngalu masin naange ɗii ina tammbii galleeji amen fof e nder saare ndee.,msgbatch_015ciDxJQXdsAr7Mm1UXzqQj,Fulani-Affordable_and_Clean_Energy-45,claude-opus-4-5-20251101,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0.0,
WP-7749-2,claude-sonnet-4-20250514,Fulani,Affordable and Clean Energy,18,2025-11-25T21:26:51.023321,Amin yiɗi en heɓii kaakej e jaangol seeɗa mo waawaa.,msgbatch_013YSRiW6Z3NCCKyVi3VcP99,Fulani-Affordable_and_Clean_Energy-17,claude-sonnet-4-20250514,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6,6,0.0,
NM-9254-2,claude-sonnet-4-20250514,Fulani,Affordable and Clean Energy,46,2025-11-25T21:26:51.024562,Kuuje seeɗa e laaɓtude ko waɗi fof nganndu-ɗen mbaawi huutoreede.,msgbatch_013YSRiW6Z3NCCKyVi3VcP99,Fulani-Affordable_and_Clean_Energy-45,claude-sonnet-4-20250514,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0.0,
YO-6607-2,claude-sonnet-4-5-20250929,Fulani,Affordable and Clean Energy,18,2025-11-25T21:28:29.907155,Ɗum waɗi ko jam woni kuɗol jemma e naatde leydi on.,msgbatch_01LxPYszDcgGguRrBkEREyjE,Fulani-Affordable_and_Clean_Energy-17,claude-sonnet-4-5-20250929,6 - Easy to read and understand,5 - Somewhat natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,5,6,0.0,
RR-2100-2,claude-sonnet-4-5-20250929,Fulani,Affordable and Clean Energy,46,2025-11-25T21:28:29.908037,Njaram gollal nañiingal e darnugal ko haajateeɗo ngam waɗde jaaɓi-haaɗtirde e ndema.,msgbatch_01LxPYszDcgGguRrBkEREyjE,Fulani-Affordable_and_Clean_Energy-45,claude-sonnet-4-5-20250929,5 - Somewhat easy to read and understand,5 - Somewhat natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,5,5,6,0.0,
HX-2829-2,gpt-4.1-2025-04-14,Fulani,Affordable and Clean Energy,18,2025-11-25T21:12:30.724737,Ko on jooɗi ngam ndiyam keewal e ndiyam leydi no waawi njogii?,batch_6924d2634fc08190a7e8ef41dd79d8d9,Fulani-Affordable_and_Clean_Energy-17,gpt-4_1,5 - Somewhat easy to read and understand,4 - Neutral / Neither natural nor unnatural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,4,5,0.0,
IA-6368-2,gpt-4.1-2025-04-14,Fulani,Affordable and Clean Energy,46,2025-11-25T21:12:30.724932,Jumɗe laawol ndiyam majum waɗi ɗum a fewa e nder dowru.,batch_6924d2634fc08190a7e8ef41dd79d8d9,Fulani-Affordable_and_Clean_Energy-45,gpt-4_1,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0.0,
ZS-4574-2,gpt-5,Fulani,Affordable and Clean Energy,18,2025-11-25T21:13:53.261422,Ko honɗun enerji boowal feewde wallude galleeji e saare?,batch_6924d274ef5081908a7a2e6cbfe404df,Fulani-Affordable_and_Clean_Energy-17,gpt-5,6 - Easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,6,5,5,0.0,
YK-6735-2,gpt-5,Fulani,Affordable and Clean Energy,46,2025-11-25T21:13:53.261611,"Naange waɗata lantarki feewnde e wurooji en, ndaarol makko seeɗa.",batch_6924d274ef5081908a7a2e6cbfe404df,Fulani-Affordable_and_Clean_Energy-45,gpt-5,6 - Easy to read and understand,5 - Somewhat natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,5,6,0.0,
DU-6180-2,gpt-5-mini,Fulani,Affordable and Clean Energy,18,2025-11-25T21:14:38.049511,Naange e windi waɗi energii safu e leydi ɓe.,batch_6924d28c60748190a6b989b1a6273f32,Fulani-Affordable_and_Clean_Energy-17,gpt-5-mini,5 - Somewhat easy to read and understand,5 - Somewhat natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),the word energii is cemmbe,5,5,6,0.0,
GH-6272-2,gpt-5-mini,Fulani,Affordable and Clean Energy,46,2025-11-25T21:14:38.049702,"Nde tawii energi soreede e safi, wuroji ɓe jippi e leydi.",batch_6924d28c60748190a6b989b1a6273f32,Fulani-Affordable_and_Clean_Energy-45,gpt-5-mini,5 - Somewhat easy to read and understand,5 - Somewhat natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,5,5,6,0.0,
GZ-9654-2,gpt-5-nano,Fulani,Affordable and Clean Energy,18,2025-11-25T21:14:46.419885,"Enerji booyde e jam, oɗon no waɗi fayde yimɓe?",batch_6924d24a35b88190bf1190e37df6136b,Fulani-Affordable_and_Clean_Energy-17,gpt-5-nano,6 - Easy to read and understand,5 - Somewhat natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,5,6,0.0,
VY-2759-2,gpt-5-nano,Fulani,Affordable and Clean Energy,46,2025-11-25T21:14:46.420069,Enerji arɗo e jamɗo waɗi ko ɓuri fow.,batch_6924d24a35b88190bf1190e37df6136b,Fulani-Affordable_and_Clean_Energy-45,gpt-5-nano,6 - Easy to read and understand,6 - Natural,7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,6,6,7,0.0,
