ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error,Sentence (in Target Language )
BY-5115-2,bedrock-claude-3-5-sonnet,Marghi,Affordable and Clean Energy,7,2025-12-16T14:32:33.783748,Ndzi hira fuwatu solar si shibta dzama.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/rai1b8v0yqsn,Marghi-Affordable_and_Clean_Energy-6,,1 - Very difficult to read and understand (Effectively incomprehensible),5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,5,5,1.0,Ndzi hira fuwatu solar si shibta dzama.
NP-5119-2,bedrock-claude-3-5-sonnet,Marghi,Affordable and Clean Energy,19,2025-12-16T14:32:33.782783,Salga ndzi ɗa mhi malva nda gha pats ka ntsa.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/rai1b8v0yqsn,Marghi-Affordable_and_Clean_Energy-18,,1 - Very difficult to read and understand (Effectively incomprehensible),5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,5,5,1.0,Salga ndzi ɗa mhi malva nda gha pats ka ntsa.
EJ-5628-2,claude-haiku-4-5-20251001,Marghi,Affordable and Clean Energy,46,2025-12-22T11:49:22.631053,A makada a na gona enerjin da zafi ba su da gwammuna a cikin gida.,msgbatch_01GtS8zmQJYXeeZ27H8STzyW,Marghi-Affordable_and_Clean_Energy-45,,1 - Very difficult to read and understand (Effectively incomprehensible),6 - Natural,6 - Formally correct,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa Language and Not Margi,1,6,6,1.0,A makada a na gona enerjin da zafi ba su da gwammuna a cikin gida.
IH-5631-2,claude-haiku-4-5-20251001,Marghi,Affordable and Clean Energy,41,2025-12-22T11:49:22.630912,Waje jine ba jina ciwon cikin gida ta arziki da kyau.,msgbatch_01GtS8zmQJYXeeZ27H8STzyW,Marghi-Affordable_and_Clean_Energy-40,,1 - Very difficult to read and understand (Effectively incomprehensible),6 - Natural,6 - Formally correct,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa Language and Not Margi,1,6,6,1.0,Waje jine ba jina ciwon cikin gida ta arziki da kyau.
AL-5798-2,claude-opus-4-5-20251101,Marghi,Affordable and Clean Energy,40,2025-12-22T11:49:26.261580,Wura aku na gwa̱l ma̱nda̱ na̱mu pikin ma̱nda̱ tsa̱ku da̱mu da̱ gari?,msgbatch_01M7QBwMfGj2XBtMVKHz3amE,Marghi-Affordable_and_Clean_Energy-39,,1 - Very difficult to read and understand (Effectively incomprehensible),5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,5,5,1.0,Wura aku na gwa̱l ma̱nda̱ na̱mu pikin ma̱nda̱ tsa̱ku da̱mu da̱ gari?
MO-5801-2,claude-opus-4-5-20251101,Marghi,Affordable and Clean Energy,18,2025-12-22T11:49:26.260723,Mənə mbalə wuya na pitroliyam ghi sələ a vəni kədə hən?,msgbatch_01M7QBwMfGj2XBtMVKHz3amE,Marghi-Affordable_and_Clean_Energy-17,,1 - Very difficult to read and understand (Effectively incomprehensible),5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,5,5,1.0,Mənə mbalə wuya na pitroliyam ghi sələ a vəni kədə hən?
QW-5457-2,claude-sonnet-4-20250514,Marghi,Affordable and Clean Energy,17,2025-12-22T11:48:59.509884,Wutar lantarki mai arha da tsabta tana taimakawa al'umma mu.,msgbatch_014bEqg22etegmSE7Jh2WbEQ,Marghi-Affordable_and_Clean_Energy-16,,1 - Very difficult to read and understand (Effectively incomprehensible),6 - Natural,6 - Formally correct,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa Language and Not Margi,1,6,6,1.0,Wutar lantarki mai arha da tsabta tana taimakawa al'umma mu.
CX-5460-2,claude-sonnet-4-20250514,Marghi,Affordable and Clean Energy,20,2025-12-22T11:48:59.510030,Wutar lantarki mai arha ta kawo haske ga gidajenmu.,msgbatch_014bEqg22etegmSE7Jh2WbEQ,Marghi-Affordable_and_Clean_Energy-19,,1 - Very difficult to read and understand (Effectively incomprehensible),6 - Natural,6 - Formally correct,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa Language and Not Margi,1,6,6,1.0,Wutar lantarki mai arha ta kawo haske ga gidajenmu.
GR-5287-2,claude-sonnet-4-5-20250929,Marghi,Affordable and Clean Energy,40,2025-12-22T11:48:58.272136,Ndu vwa hyalaha ka kwal laftatal a fita ka kudurtal wu?,msgbatch_01BCGiAykGuRHZeGFLkmUu5x,Marghi-Affordable_and_Clean_Energy-39,,1 - Very difficult to read and understand (Effectively incomprehensible),5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,5,5,1.0,Ndu vwa hyalaha ka kwal laftatal a fita ka kudurtal wu?
OM-5290-2,claude-sonnet-4-5-20250929,Marghi,Affordable and Clean Energy,18,2025-12-22T11:48:58.271209,Ndza ku kərma fita barka kuzaku a bar hyalaku nsa?,msgbatch_01BCGiAykGuRHZeGFLkmUu5x,Marghi-Affordable_and_Clean_Energy-17,,1 - Very difficult to read and understand (Effectively incomprehensible),5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,5,5,1.0,Ndza ku kərma fita barka kuzaku a bar hyalaku nsa?
RH-5968-2,gemini-2.5-flash,Marghi,Affordable and Clean Energy,40,2025-12-22T11:49:12.630347,"Rana wuta ta kɛ́ɗi de ga ŋwaŋŋa, 'ma ka gba kwana kàɗi.",batches/k9qndil0adcutgafkpeu019asyiiwjqzaeod,Marghi-Affordable_and_Clean_Energy-39,,1 - Very difficult to read and understand (Effectively incomprehensible),5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,5,5,1.0,"Rana wuta ta kɛ́ɗi de ga ŋwaŋŋa, 'ma ka gba kwana kàɗi."
ZX-5971-2,gemini-2.5-flash,Marghi,Affordable and Clean Energy,18,2025-12-22T11:49:12.630315,Dala wuta ma yel nzaŋ kaŋa cinyi ngi saŋ ngi sa?,batches/k9qndil0adcutgafkpeu019asyiiwjqzaeod,Marghi-Affordable_and_Clean_Energy-17,,1 - Very difficult to read and understand (Effectively incomprehensible),5 - Somewhat natural,5 - Somewhat correct (Minor errors),"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,1,5,5,1.0,Dala wuta ma yel nzaŋ kaŋa cinyi ngi saŋ ngi sa?
DO-6138-2,gemini-2.5-flash-lite,Marghi,Affordable and Clean Energy,31,2025-12-22T11:49:01.857628,Muna buƙatar makamashi mai tsabta don kare muhalli.,batches/k87fawpf3bnpvkroqyoml0wieprhcns9agxo,Marghi-Affordable_and_Clean_Energy-30,,1 - Very difficult to read and understand (Effectively incomprehensible),6 - Natural,6 - Formally correct,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",This is Hausa Language and Not Margi,1,6,6,1.0,Muna buƙatar makamashi mai tsabta don kare muhalli.
