ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error,Sentence (in Target Language )
GO-1240-2,bedrock-claude-3-5-sonnet,Nigerian Pidgin,Affordable and Clean Energy,15,2025-11-27T12:30:24.301380,Solar panel dey give beta light and e no dey cost too much,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,NigerianPidgin-Affordable_and_Clean_Energy-14,claude-3-5-sonnet-20241022-v2,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6.0,6.0,0.0,
TW-3752-2,bedrock-claude-3-5-sonnet,Nigerian Pidgin,Affordable and Clean Energy,50,2025-11-27T12:30:24.301532,Dem don bring solar panel wey go helep poor people get light for dia house,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,NigerianPidgin-Affordable_and_Clean_Energy-49,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7.0,7.0,0.0,
ZD-6309-2,claude-haiku-4-5-20251001,Nigerian Pidgin,Affordable and Clean Energy,24,2025-11-25T21:28:36.848425,We need make sure say clean energy reach every person wey get low money for their house.,msgbatch_01MBb73G9mxiVUMWL3P9VTsj,NigerianPidgin-Affordable_and_Clean_Energy-23,claude-haiku-4-5-20251001,5 - Somewhat easy to read and understand,2 - Unnatural,3 - Somewhat flawed,No – No Critical Error (The output is a valid sentence in the target language),need correction,5,2.0,3.0,0.0,
TS-4853-2,claude-haiku-4-5-20251001,Nigerian Pidgin,Affordable and Clean Energy,46,2025-11-25T21:28:36.849058,E go better if we use solar energy to light up our house without spending plenty money.,msgbatch_01MBb73G9mxiVUMWL3P9VTsj,NigerianPidgin-Affordable_and_Clean_Energy-45,claude-haiku-4-5-20251001,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7.0,7.0,0.0,
DZ-0438-2,claude-opus-4-5-20251101,Nigerian Pidgin,Affordable and Clean Energy,17,2025-11-26T15:58:40.141157,We need make light wey no cost too much and no go spoil our environment dey available for everybody.,msgbatch_01RGqErkUMPXzoksiPRDDdmX,NigerianPidgin-Affordable_and_Clean_Energy-16,claude-opus-4-5-20251101,5 - Somewhat easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),its natural but the meaning of the sentence and what it is telling is not clear.,5,6.0,5.0,0.0,
PA-8056-2,claude-opus-4-5-20251101,Nigerian Pidgin,Affordable and Clean Energy,48,2025-11-26T15:58:40.142228,Make we dey use solar power wey no dey cost too much and e dey clean for environment.,msgbatch_01RGqErkUMPXzoksiPRDDdmX,NigerianPidgin-Affordable_and_Clean_Energy-47,claude-opus-4-5-20251101,5 - Somewhat easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),and e de clean for environment dos not complete the sentence correctly,5,6.0,5.0,0.0,
ET-8940-2,claude-sonnet-4-20250514,Nigerian Pidgin,Affordable and Clean Energy,9,2025-11-25T21:26:50.896643,We need make electricity wey no go cost too much for everybody.,msgbatch_013YSRiW6Z3NCCKyVi3VcP99,NigerianPidgin-Affordable_and_Clean_Energy-8,claude-sonnet-4-20250514,6 - Easy to read and understand,6 - Natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),"the word ""make"" should br removed",6,6.0,5.0,0.0,
BI-1591-2,claude-sonnet-4-20250514,Nigerian Pidgin,Affordable and Clean Energy,29,2025-11-25T21:26:50.897236,Wetin we need na clean energy wey no go cost us plenty money.,msgbatch_013YSRiW6Z3NCCKyVi3VcP99,NigerianPidgin-Affordable_and_Clean_Energy-28,claude-sonnet-4-20250514,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7.0,7.0,0.0,
TY-2855-2,claude-sonnet-4-5-20250929,Nigerian Pidgin,Affordable and Clean Energy,27,2025-11-25T21:28:29.627300,How we go fit make sure say everybody get clean energy wey no cost too much?,msgbatch_01LxPYszDcgGguRrBkEREyjE,NigerianPidgin-Affordable_and_Clean_Energy-26,claude-sonnet-4-5-20250929,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7.0,7.0,0.0,
QJ-5765-2,claude-sonnet-4-5-20250929,Nigerian Pidgin,Affordable and Clean Energy,44,2025-11-25T21:28:29.627877,Wetin we fit do make everybody get light wey no cost too much?,msgbatch_01LxPYszDcgGguRrBkEREyjE,NigerianPidgin-Affordable_and_Clean_Energy-43,claude-sonnet-4-5-20250929,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7.0,7.0,0.0,
