ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error,Sentence (in Target Language )
GN-8844-2,bedrock-claude-3-5-sonnet,Yoruba,Affordable and Clean Energy,20,2025-11-27T12:30:24.285861,Ìmọ̀lẹ̀ oòrùn jẹ́ ọ̀nà tó wọ́pọ̀ láti ní agbára tó péye.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Affordable_and_Clean_Energy-19,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
NC-4973-2,bedrock-claude-3-5-sonnet,Yoruba,Affordable and Clean Energy,36,2025-11-27T12:30:24.284546,Àgbàlagbà mi ń lo ìtànná òòrùn láti fi ṣe iná fún ilé rẹ̀.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Yoruba-Affordable_and_Clean_Energy-35,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
TV-6384-2,claude-haiku-4-5-20251001,Yoruba,Affordable and Clean Energy,18,2025-11-25T21:28:36.796638,Ẹkọ́ tí ń jáde láti ìmọ̀lẹ̀ àti àfẹ́fẹ́ dùn jù lọ fún àwọn ènìyàn tí ó dùn púpọ̀.,msgbatch_01MBb73G9mxiVUMWL3P9VTsj,Yoruba-Affordable_and_Clean_Energy-17,claude-haiku-4-5-20251001,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
IU-9701-2,claude-haiku-4-5-20251001,Yoruba,Affordable and Clean Energy,46,2025-11-25T21:28:36.797490,Ìwè agbáladá ati òmìnira agbára a jẹ́ ohun pataki fún àwọn ènìyàn ní ìlosiwájú.,msgbatch_01MBb73G9mxiVUMWL3P9VTsj,Yoruba-Affordable_and_Clean_Energy-45,claude-haiku-4-5-20251001,6 - Easy to read and understand,4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),No – No Critical Error (The output is a valid sentence in the target language),,6,4,4,0,
IU-5301-2,claude-opus-4-5-20251101,Yoruba,Affordable and Clean Energy,29,2025-11-26T15:58:38.530843,Ìmọ́lẹ̀ oòrùn jẹ́ orísun agbára tó mọ́ tí kò sì wọ́n púpọ̀ fún àwọn ará ìlú wa.,msgbatch_013mLdhJZdAtT2yQAwSEvUh8,Yoruba-Affordable_and_Clean_Energy-28,claude-opus-4-5-20251101,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0,
BE-8471-2,claude-opus-4-5-20251101,Yoruba,Affordable and Clean Energy,43,2025-11-26T15:58:38.531507,Ṣé o mọ̀ pé agbára oòrùn jẹ́ olówó pọ̀kú àti mọ́tótó fún ilé wa?,msgbatch_013mLdhJZdAtT2yQAwSEvUh8,Yoruba-Affordable_and_Clean_Energy-42,claude-opus-4-5-20251101,4 - Neutral / Neither easy nor difficult to read,4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),No – No Critical Error (The output is a valid sentence in the target language),,4,4,4,0,
UB-8358-2,claude-sonnet-4-20250514,Yoruba,Affordable and Clean Energy,19,2025-11-25T21:26:50.804308,Agbara ti o poku ati ti o mo yii se pataki fun awon ile wa.,msgbatch_013YSRiW6Z3NCCKyVi3VcP99,Yoruba-Affordable_and_Clean_Energy-18,claude-sonnet-4-20250514,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
RX-3000-2,claude-sonnet-4-20250514,Yoruba,Affordable and Clean Energy,49,2025-11-25T21:26:50.805308,Agbara ti o poku ati ti o mo awon eya ara wa lo ni gbogbo eniyan.,msgbatch_013YSRiW6Z3NCCKyVi3VcP99,Yoruba-Affordable_and_Clean_Energy-48,claude-sonnet-4-20250514,4 - Neutral / Neither easy nor difficult to read,4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),No – No Critical Error (The output is a valid sentence in the target language),,4,4,4,0,
UH-6831-2,claude-sonnet-4-5-20250929,Yoruba,Affordable and Clean Energy,18,2025-11-25T21:28:29.522803,Ṣé agbára tí ó pọ̀kpọ̀ tí kò sì lèérí yóò ṣègùn àwọn ìṣòro àyíká wa?,msgbatch_01LxPYszDcgGguRrBkEREyjE,Yoruba-Affordable_and_Clean_Energy-17,claude-sonnet-4-5-20250929,4 - Neutral / Neither easy nor difficult to read,4 - Neutral / Neither natural nor unnatural,4 - Neutral / Neither perfect nor heavily flawed (Average),No – No Critical Error (The output is a valid sentence in the target language),,4,4,4,0,
PA-7933-2,claude-sonnet-4-5-20250929,Yoruba,Affordable and Clean Energy,49,2025-11-25T21:28:29.524109,Agbara tí ó wà ní ọ̀nà tó ṣe pàtàkì fún àwọn ènìyàn láti rí àti tí kò ní ìdọ̀tí.,msgbatch_01LxPYszDcgGguRrBkEREyjE,Yoruba-Affordable_and_Clean_Energy-48,claude-sonnet-4-5-20250929,5 - Somewhat easy to read and understand,5 - Somewhat natural,5 - Somewhat correct (Minor errors),No – No Critical Error (The output is a valid sentence in the target language),,5,5,5,0,
